DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - São Paulo
Casos Prováveis por Município de notificação e Ano 1º Sintoma(s)
Ano 1º Sintoma(s): 2019, 2020, 2021, 2022, 2023, 2024
Período:2019-2024
"Município de notificação";"2019";"2020";"2021";"2022";"2023";"2024";"Total"
"355300 TAGUAI";19;9;7;3;17;2210;2265
"355310 TAIACU";97;4;1;24;21;75;222
"355320 TAIUVA";202;67;-;53;30;323;675
"355330 TAMBAU";23;519;10;25;133;2828;3538
"355340 TANABI";1491;496;803;1485;55;517;4847
"355350 TAPIRAI";-;1;1;3;-;89;94
"355360 TAPIRATIBA";20;282;-;-;2;1340;1644
"355365 TAQUARAL";44;4;-;205;3;155;411
"355370 TAQUARITINGA";4058;348;15;505;6641;174;11741
"355380 TAQUARITUBA";21;6;5;10;27;476;545
"355385 TAQUARIVAI";3;1;3;7;-;36;50
"355390 TARABAI";12;343;14;201;1058;79;1707
"355395 TARUMA";171;147;13;720;559;572;2182
"355400 TATUI";49;340;20065;25;45;999;21523
"355410 TAUBATE";415;2350;282;1562;1824;29368;35801
"355420 TEJUPA";1;1;-;-;3;126;131
"355430 TEODORO SAMPAIO";136;388;537;3587;424;67;5139
"355440 TERRA ROXA";187;6;2;154;53;34;436
"355450 TIETE";24;14;546;281;503;1287;2655
"355460 TIMBURI";5;2;20;1;6;34;68
"355465 TORRE DE PEDRA";-;1;13;-;2;46;62
"355470 TORRINHA";31;4;2;12;180;1580;1809
"355475 TRABIJU";59;85;1;19;81;14;259
"355480 TREMEMBE";18;62;35;182;330;2575;3202
"355490 TRES FRONTEIRAS";161;6;27;294;2;131;621
"355495 TUIUTI";-;-;-;-;2;109;111
"355500 TUPA";6352;706;184;3135;4277;1055;15709
"355510 TUPI PAULISTA";338;804;214;1285;1185;97;3923
"355520 TURIUBA";52;114;334;42;3;16;561
"355530 TURMALINA";109;65;4;103;6;73;360
"355535 UBARANA";415;160;11;538;4;121;1249
"355540 UBATUBA";1575;250;728;168;811;6560;10092
"355550 UBIRAJARA";5;-;-;9;28;183;225
"355560 UCHOA";488;37;40;269;53;236;1123
"355570 UNIAO PAULISTA";142;9;101;50;1;12;315
"355580 URANIA";500;671;203;1687;13;716;3790
